EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER,
5600079,VOLUSIA CO.,NEW SMYRNA BEACH,04/23/1997,830,Tornado, ,F0,0,0,0,0,FL,EST, ,2062499,C,127,MLB,0,0, , ,0.1,20, , , , ,NEW SMYRNA BEACH,29.02,-80.93,29.02,-80.93,82,
5611324,CITRUS CO.,HOMOSASSA SPGS,04/23/1997,835,Tornado,0,F0,0,0,114000,0,FL,EST, ,2067041,C,17,TBW,0,0, , ,1,8, , , , ,HOMOSASSA SPGS,28.8,-82.57,28.8,-82.57,83,
5611325,CITRUS CO.,CRYSTAL RIVER,04/23/1997,835,Thunderstorm Wind, , ,0,0,4000,0,FL,EST, ,2067042,C,17,TBW,0,0, , , , , , , , ,CRYSTAL RIVER,28.9,-82.57,28.9,-82.57,84,
5611326,HERNANDO CO.,SPRING HILL,04/23/1997,840,Tornado, ,F0,0,1,150000,0,FL,EST, ,2067043,C,53,TBW,0,0, , ,1,8, , , , ,SPRING HILL,28.55,-82.45,28.55,-82.45,85,
5611327,CITRUS CO.,INVERNESS,04/23/1997,853,Thunderstorm Wind, , ,0,0,50000,0,FL,EST, ,2067044,C,17,TBW,0,0, , , , , , , , ,INVERNESS,28.83,-82.33,28.83,-82.33,86,
5611328,HERNANDO CO.,BROOKSVILLE,04/23/1997,855,Tornado, ,F0,0,0,500000,0,FL,EST, ,2067045,C,53,TBW,0,0, , ,16,10,4,SW,12,E,BROOKSVILLE,28.52,-82.43,28.55,-82.18,87,
5598565,MARION CO.,OCALA,04/23/1997,858,Thunderstorm Wind, , ,0,0,6000,0,FL,EST, ,2063441,C,83,JAX,0,0, , , , , , , , ,OCALA,29.18,-82.13,29.18,-82.13,88,
5598553,ALACHUA CO.,GAINESVILLE,04/23/1997,900,Thunderstorm Wind, , ,0,0,1500,0,FL,EST, ,2063437,C,1,JAX,0,0, , , , , , , , ,GAINESVILLE,29.65,-82.32,29.65,-82.32,89,
5598570,FLAGLER CO.,BUNNELL,04/23/1997,900,Thunderstorm Wind, , ,0,0,200,0,FL,EST, ,2063443,C,35,JAX,0,0, , , , , , , , ,BUNNELL,29.47,-81.27,29.47,-81.27,90,
5611329,SUMTER CO.,LAKE PANASOFFKEE,04/23/1997,905,Thunderstorm Wind, , ,0,0,15000,0,FL,EST, ,1045555,C,119,TBW,0,0, , , , , , , , ,LAKE PANASOFFKEE,28.83,-82.15,28.83,-82.15,91,
5598571,PUTNAM CO.,PALATKA,04/23/1997,908,Flash Flood, , ,0,0,1000,0,FL,EST, ,2063443,C,107,JAX,0,0, , , , , , , , ,PALATKA, , , , ,92,
5616511,LAKE CO.,FRUITLAND PARK,04/23/1997,910,Thunderstorm Wind, , ,0,0,30000,0,FL,EST, ,2069935,C,69,MLB,0,0, , , , , , , , ,FRUITLAND PARK,28.85,-81.9,28.85,-81.9,93,
5611330,SUMTER CO.,WILDWOOD,04/23/1997,910,Tornado, ,F0,0,0,200000,0,FL,EST, ,2067046,C,119,TBW,0,0, , ,2.3,5,1,SW,2,ESE,WILDWOOD,28.85,-82.05,28.87,-82.02,94,
5601289,LAKE CO.,FRUITLAND PARK,04/23/1997,910,Thunderstorm Wind, , ,0,0,30000,0,FL,EST, ,2062495,C,69,MLB,0,0, , , , , , , , ,FRUITLAND PARK,28.85,-81.9,28.85,-81.9,95,
5601290,VOLUSIA CO.,PIERSON,04/23/1997,915,Tornado, ,F0,0,0,60000,0,FL,EST, ,2062495,C,127,MLB,0,0, , ,0.3,30, , , , ,PIERSON,29.23,-81.47,29.23,-81.47,96,
5616602,VOLUSIA CO.,PIERSON,04/23/1997,915,Tornado, ,F0,0,0,60000,0,FL,EST, ,2069935,C,127,MLB,0,0, , ,0.3,30, , , , ,PIERSON,29.23,-81.47,29.23,-81.47,97,
5601291,LAKE CO.,TAVARES,04/23/1997,920,Tornado, ,F0,0,0,150000,0,FL,EST, ,2062495,C,69,MLB,0,0, , ,0.3,30, , , , ,TAVARES,28.8,-81.72,28.8,-81.72,98,
5616603,LAKE CO.,TAVARES,04/23/1997,920,Tornado, ,F0,0,0,150000,0,FL,EST, ,2069935,C,69,MLB,0,0, , ,0.3,30, , , , ,TAVARES,28.8,-81.72,28.8,-81.72,99,
5598566,MARION CO.,OCALA,04/23/1997,925,Thunderstorm Wind, , ,0,0,5000,0,FL,EST, ,2063441,C,83,JAX,0,0, , , , , , , , ,OCALA,29.18,-82.13,29.18,-82.13,100,
5601292,VOLUSIA CO.,DELTONA,04/23/1997,930,Thunderstorm Wind, , ,0,0,0,0,FL,EST, ,2062495,C,127,MLB,0,0, , , , , , , , ,DELTONA,28.9,-81.23,28.9,-81.23,101,
