aEVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER
10317749,ESCAMBIA CO.,Bratt,05/09/1995,1130,Thunderstorm Wind,0, ,0,0,500,0,FL,CST, , ,C,33, ,0,0, , ,0,0,0, ,0, , , , , , ,87
10320184,OKALOOSA CO.,Blackman,05/09/1995,1330,Thunderstorm Wind,0, ,0,0,500,0,FL,CST, , ,C,91, ,0,0, , ,0,0,0, ,0, , , , , , ,88
10320185,OKALOOSA CO.,Dorcas,05/09/1995,1415,Thunderstorm Wind,0, ,0,0,500,0,FL,CST, , ,C,91, ,0,0, , ,0,0,0, ,0, , , , , , ,89
10320227,OKALOOSA CO.,Baker,05/09/1995,1550,Thunderstorm Wind,0, ,0,0,500,0,FL,CST, , ,C,91, ,0,0, , ,0,0,0, ,0, , , , , , ,90
10320024,HOLMES CO.,Caryville,05/09/1995,1800,Thunderstorm Wind,0, ,0,0,5000,0,FL,EST, , ,C,59, ,0,0, , ,0,0,0, ,36,E,CEW, , , , ,91
10319867,SANTA ROSA CO.,McClellan,05/10/1995,25,Thunderstorm Wind,0, ,0,0,500,0,FL,CST, , ,C,113, ,0,0, , ,0,0,0, ,0, , , , , , ,92
10317750,ESCAMBIA CO.,Walnut Hill,05/10/1995,35,Thunderstorm Wind,0, ,0,0,500,0,FL,CST, , ,C,33, ,0,0, , ,0,0,0, ,0, , , , , , ,93
10319766,SANTA ROSA CO.,McClellan,05/10/1995,120,Thunderstorm Wind,0, ,0,0,500,0,FL,CST, , ,C,113, ,0,0, , ,0,0,0, ,0, , , , , , ,94
10317751,ESCAMBIA CO.,Century,05/10/1995,430,Thunderstorm Wind,0, ,0,0,500,0,FL,CST, , ,C,33, ,0,0, , ,0,0,0, ,0, , , , , , ,95
10319969,LEON CO.,Tallahassee,05/11/1995,902,Thunderstorm Wind,57, ,0,0,200000,0,FL,EST, , ,C,73, ,0,0, , ,0,0,0, ,0, , , , , , ,96
10319286,SUWANNEE CO.,Live Oak,05/11/1995,1030,Thunderstorm Wind,0, ,0,0,1500,0,FL,EST, , ,C,121, ,0,0, , ,0,0,0, ,32,SSE,VLD, , , , ,97
10320113,LAFAYETTE CO.,Mayo,05/11/1995,1055,Thunderstorm Wind,0, ,0,0,0,0,FL,EST, , ,C,67, ,0,0, , ,0,0,0, ,44,S,VLD, , , , ,98
10317713,COLUMBIA CO.,Mikesville,05/11/1995,1145,Thunderstorm Wind,0, ,0,0,150,0,FL,EST, , ,C,23, ,0,0, , ,0,0,2,E,0, , , , , , ,99
10318095,ALACHUA CO.,Gainesville,05/11/1995,1230,Thunderstorm Wind,0, ,0,0,2000,0,FL,EST, , ,C,1, ,0,0, , ,0,0,0, ,13,WNW,GNV, , , , ,100
10317684,CLAY CO.,Middleburg,05/11/1995,1230,Thunderstorm Wind,0, ,0,0,1500,0,FL,EST, , ,C,19, ,0,0, , ,0,0,0, ,13,S,NIP, , , , ,101
10320089,GILCHRIST CO.,Bell,05/11/1995,1235,Thunderstorm Wind,0, ,0,0,0,0,FL,EST, , ,C,41, ,0,0, , ,0,0,38,N,0, , , , , , ,102
10319177,ST. JOHNS CO.,Fruit Cove,05/11/1995,1250,Thunderstorm Wind,0, ,0,0,0,0,FL,EST, , ,C,109, ,0,0, , ,0,0,0, ,0, , , , , , ,103
10318462,PUTNAM CO.,Palatka,05/11/1995,1335,Thunderstorm Wind,0, ,0,0,2500,0,FL,EST, , ,C,107, ,0,0, , ,0,0,0, ,33,E,GNV, , , , ,104
10317812,FLAGLER CO.,Bunnell,05/11/1995,1400,Thunderstorm Wind,0, ,0,0,2000,0,FL,EST, , ,C,35, ,0,0, , ,0,0,0, ,20,NW,DAB, , , , ,105
10318463,PUTNAM CO.,Pomona Park,05/11/1995,1730,Thunderstorm Wind,0, ,0,0,1500,0,FL,EST, , ,C,107, ,0,0, , ,0,0,0, ,34,WNW,DAB, , , , ,106
10317752,ESCAMBIA CO.,Pensacola NAS,05/11/1995,1813,Thunderstorm Wind,0, ,0,0,500,0,FL,CST, , ,C,33, ,0,0, , ,0,0,0, ,0, , , , , , ,107
10320102,JACKSON CO.,Graceville,05/11/1995,1815,Thunderstorm Wind,0, ,0,0,5000,0,FL,EST, , ,C,63, ,0,0, , ,0,0,0, ,21,S,DHN, , , , ,108
10319453,WAKULLA CO.,Buck Horn,05/11/1995,2130,Thunderstorm Wind,0, ,0,0,5000,0,FL,EST, , ,C,129, ,0,0, , ,0,0,0, ,25,SW,TLH, , , , ,109
10320114,LAFAYETTE CO.,Mayo,05/11/1995,2145,Thunderstorm Wind,0, ,0,0,1500,0,FL,EST, , ,C,67, ,0,0, , ,0,0,0, ,44,S,VLD, , , , ,110
10319454,WAKULLA CO.,St. Marks,05/11/1995,2145,Thunderstorm Wind,0, ,0,0,5000,0,FL,EST, , ,C,129, ,0,0, , ,0,0,0, ,14,SSW,TLH, , , , ,111
10319970,LEON CO.,Tallahassee,05/12/1995,0,Thunderstorm Wind,0, ,0,0,5000,0,FL,EST, , ,C,73, ,0,0, , ,0,0,0, ,0, , , , , , ,112
10319986,HILLSBOROUGH CO.,TPA,05/12/1995,0,Thunderstorm Wind,0, ,0,0,5000,0,FL,EST, , ,C,57, ,0,0, , ,0,0,10,NE,0, , , , , , ,113
10319618,MARION CO.,Reddick,05/12/1995,30,Tornado,0,F0,0,0,10000,0,FL,EST, , ,C,83, ,0,0, , ,.1,10,0, ,19,SSE,GNV, , , , ,114
10319989,HILLSBOROUGH CO.,TPA,05/12/1995,435,Thunderstorm Wind,0, ,0,0,5000,0,FL,EST, , ,C,57, ,0,0, , ,0,0,22,E,0, , , , , , ,115
10320228,OKALOOSA CO.,Niceville,05/12/1995,1030,Thunderstorm Wind,0, ,0,0,5,0,FL,CST, , ,C,91, ,0,0, , ,0,0,0, ,0, , , , , , ,116
10320130,NASSAU CO.,Fernandina Beach,05/12/1995,1615,Thunderstorm Wind,62, ,0,0,0,0,FL,EST, , ,C,89, ,0,0, , ,0,0,0, ,10,NE,JAX, , , , ,117
10320090,GILCHRIST CO.,Trenton,05/12/1995,1635,Tornado,0,F0,0,0,20000,0,FL,EST, , ,C,41, ,0,0, , ,5,10,0, ,28,W,GNV, , , , ,118
10317715,COLUMBIA CO.,Lake City,05/12/1995,1643,Thunderstorm Wind,0, ,0,0,2000,0,FL,EST, , ,C,23, ,0,0, , ,0,0,0, ,35,NNW,GNV, , , , ,119
10317800,DUVAL CO.,Highland,05/12/1995,1920,Thunderstorm Wind,0, ,0,0,0,0,FL,EST, , ,C,31, ,0,0, , ,0,0,0, ,19,WSW,NIP, , , , ,120
10319600,HIGHLANDS CO.,Lake Placid,05/16/1995,1810,Thunderstorm Wind,0, ,0,0,2000,0,FL,EST, , ,C,55, ,0,0, , ,0,0,0, ,50,NNE,FMY, , , , ,121
10318049,BROWARD CO.,Tamarac,05/20/1995,430,Thunderstorm Wind,0, ,0,0,2000,0,FL,EST, , ,C,11, ,0,0, , ,0,0,0, ,5,N,FLL, , , , ,122
10320121,MANATEE CO.,Bradenton,05/20/1995,630,Thunderstorm Wind,0, ,0,0,0,0,FL,EST, , ,C,81, ,0,0, , ,0,0,0, ,29,S,TPA, , , , ,123
10319784,POLK CO.,Bartow,05/20/1995,715,Thunderstorm Wind,0, ,0,0,12000,0,FL,EST, , ,C,105, ,0,0, , ,0,0,1,S,37,E,TPA, , , , ,124
10319785,POLK CO.,Lakeland,05/21/1995,2000,Thunderstorm Wind,40, ,0,0,8000,0,FL,EST, , ,C,105, ,0,0, , ,0,0,2,SE,32,E,TPA, , , , ,125
10320107,JEFFERSON CO.,Wacissa,06/02/1995,630,Thunderstorm Wind,0, ,0,0,0,0,FL,EST, , ,C,65, ,0,0, , ,0,0,0, ,7,ESE,TLH, , , , ,126
10358403,PINELLAS CO.,St. Petersburg,06/02/1995,1400,Thunderstorm Wind,0, ,0,1,0,0,FL,EST, , ,C,103, ,0,0, , ,0,0,0, ,27,WNW,TPA, , , , ,127
10319786,POLK CO.,Haines City,06/04/1995,2215,Tornado,0,F0,0,0,20000,0,FL,EST, , ,C,105, ,0,0, , ,.1,10,0, ,49,E,TPA, , , , ,128
